KNN,NB,DT,RF,Bagging,AdaBoost,GradientBoosting
3.759145736694336,3.4987144470214844,2.4024734497070312,3.1211490631103516,6.246061325073242,4.031251907348633,3.4377803802490234
3.7900218963623047,3.5291099548339844,2.4229812622070312,3.1464710235595703,6.298055648803711,4.065645217895508,3.491151809692383
3.811880111694336,3.5488853454589844,2.4376296997070312,3.1633777618408203,6.336553573608398,4.090211868286133,3.4507617950439453
3.8647289276123047,3.5994224548339844,2.4727859497070312,3.208192825317383,6.429250717163086,4.149171829223633,3.4946346282958984
3.899770736694336,3.6278648376464844,2.4962234497070312,3.2392444610595703,6.490041732788086,4.188478469848633,3.6233081817626953
3.9174633026123047,3.6431236267089844,2.5079421997070312,3.254037857055664,6.520437240600586,4.208131790161133,3.5916194915771484
3.948110580444336,3.6777915954589844,2.5284500122070312,3.2799320220947266,6.573629379272461,4.242525100708008,3.658884048461914
3.9570140838623047,3.6837730407714844,2.5343093872070312,3.2873172760009766,6.588850021362305,4.252351760864258,3.6289501190185547
3.974477767944336,3.7023277282714844,2.5460281372070312,3.3020877838134766,6.619245529174805,4.272005081176758,3.6702213287353516
4.000959396362305,3.7295494079589844,2.5636062622070312,3.3237171173095703,6.664838790893555,4.301485061645508,3.6728267669677734
4.027212142944336,3.7576255798339844,2.5811843872070312,3.3443164825439453,6.710432052612305,4.330965042114258,3.729269027709961
4.185529708862305,3.9157066345214844,2.6866531372070312,3.477754592895508,6.983991622924805,4.507844924926758,3.8500728607177734
4.233755111694336,3.9603843688964844,2.7188796997070312,3.5198841094970703,7.06757926940918,4.561891555786133,3.8454952239990234
4.273420333862305,4.000545501708984,2.7452468872070312,3.5531177520751953,7.135969161987305,4.606111526489258,3.945436477661133
4.334829330444336,4.060970306396484,2.7862625122070312,3.6048145294189453,7.242353439331055,4.674898147583008,3.9451656341552734
4.552717208862305,4.124691009521484,2.8272781372070312,3.6565113067626953,7.348737716674805,4.743684768676758,4.092626571655273
4.570180892944336,4.141536712646484,2.8389968872070312,3.6713504791259766,7.379133224487305,4.763338088989258,4.069128036499023
4.609846115112305,4.179256439208984,2.8653640747070312,3.7087039947509766,7.447980880737305,4.807558059692383,4.153985977172852
4.653676986694336,4.222225189208984,2.8946609497070312,3.7404651641845703,7.52381706237793,4.856691360473633,4.136709213256836
4.688947677612305,4.256282806396484,2.9180984497070312,3.7703495025634766,7.582265853881836,4.895998001098633,4.226770401000977
4.723989486694336,4.289730072021484,2.9415359497070312,3.801401138305664,7.643560409545898,4.935304641723633,4.246667861938477
